,,Scenario,Region,Variable,Type,Year, electricity-generation-2023 ,electricity-capacity-2023
6284,QuebecCanada Net-zeroBiomass / Geothermal2045,Canada Net-zero,Quebec,Biomass / Geothermal,Primary Fuel,2045," 1,637.90 ",326.39
6285,QuebecCurrent MeasuresBiomass / Geothermal2045,Current Measures,Quebec,Biomass / Geothermal,Primary Fuel,2045," 21,293.54 ",11631.16025
6286,QuebecGlobal Net-zeroBiomass / Geothermal2045,Global Net-zero,Quebec,Biomass / Geothermal,Primary Fuel,2045," 1,661.44 ",326.39
6287,QuebecCanada Net-zeroHydro / Wave / Tidal2045,Canada Net-zero,Quebec,Hydro / Wave / Tidal,Primary Fuel,2045," 266,146.11 ",45986.87
6288,QuebecCurrent MeasuresHydro / Wave / Tidal2045,Current Measures,Quebec,Hydro / Wave / Tidal,Primary Fuel,2045," 248,414.90 ",43486.87
6289,QuebecGlobal Net-zeroHydro / Wave / Tidal2045,Global Net-zero,Quebec,Hydro / Wave / Tidal,Primary Fuel,2045," 263,410.42 ",45986.87
6290,QuebecCanada Net-zeroNatural Gas2045,Canada Net-zero,Quebec,Natural Gas,Primary Fuel,2045, -   ,0
6291,QuebecCurrent MeasuresNatural Gas2045,Current Measures,Quebec,Natural Gas,Primary Fuel,2045, -   ,0
6292,QuebecGlobal Net-zeroNatural Gas2045,Global Net-zero,Quebec,Natural Gas,Primary Fuel,2045, -   ,0
6293,QuebecCanada Net-zeroOil2045,Canada Net-zero,Quebec,Oil,Primary Fuel,2045, 321.24 ,244
6294,QuebecCurrent MeasuresOil2045,Current Measures,Quebec,Oil,Primary Fuel,2045, 320.62 ,244
6295,QuebecGlobal Net-zeroOil2045,Global Net-zero,Quebec,Oil,Primary Fuel,2045, 321.09 ,244
6296,QuebecCanada Net-zeroSolar2045,Canada Net-zero,Quebec,Solar,Primary Fuel,2045, 728.82 ,0.297
6297,QuebecCurrent MeasuresSolar2045,Current Measures,Quebec,Solar,Primary Fuel,2045, 364.61 ,0.297
6298,QuebecGlobal Net-zeroSolar2045,Global Net-zero,Quebec,Solar,Primary Fuel,2045," 1,470.79 ",480.297
6299,QuebecCanada Net-zeroUranium2045,Canada Net-zero,Quebec,Uranium,Primary Fuel,2045," 19,532.74 ",3000
6300,QuebecGlobal Net-zeroUranium2045,Global Net-zero,Quebec,Uranium,Primary Fuel,2045," 17,863.26 ",3000
6301,QuebecCanada Net-zeroWind2045,Canada Net-zero,Quebec,Wind,Primary Fuel,2045," 22,810.09 ",6263.172455
6302,QuebecCurrent MeasuresWind2045,Current Measures,Quebec,Wind,Primary Fuel,2045," 34,697.06 ",10305.0517
6303,QuebecGlobal Net-zeroWind2045,Global Net-zero,Quebec,Wind,Primary Fuel,2045," 18,399.59 ",5519.000151
6304,SaskatchewanCanada Net-zeroBiomass / Geothermal2045,Canada Net-zero,Saskatchewan,Biomass / Geothermal,Primary Fuel,2045," 15,004.36 ",1924.888889
6305,SaskatchewanCurrent MeasuresBiomass / Geothermal2045,Current Measures,Saskatchewan,Biomass / Geothermal,Primary Fuel,2045, 214.63 ,36
6306,SaskatchewanGlobal Net-zeroBiomass / Geothermal2045,Global Net-zero,Saskatchewan,Biomass / Geothermal,Primary Fuel,2045," 15,022.17 ",1924.888889
6307,SaskatchewanCanada Net-zeroCoal & Coke2045,Canada Net-zero,Saskatchewan,Coal & Coke,Primary Fuel,2045, -   ,0
6308,SaskatchewanCurrent MeasuresCoal & Coke2045,Current Measures,Saskatchewan,Coal & Coke,Primary Fuel,2045, 654.81 ,115
6309,SaskatchewanGlobal Net-zeroCoal & Coke2045,Global Net-zero,Saskatchewan,Coal & Coke,Primary Fuel,2045, -   ,0
6310,SaskatchewanCanada Net-zeroHydro / Wave / Tidal2045,Canada Net-zero,Saskatchewan,Hydro / Wave / Tidal,Primary Fuel,2045," 4,122.61 ",989.06
6311,SaskatchewanCurrent MeasuresHydro / Wave / Tidal2045,Current Measures,Saskatchewan,Hydro / Wave / Tidal,Primary Fuel,2045," 3,849.97 ",989.06
6312,SaskatchewanGlobal Net-zeroHydro / Wave / Tidal2045,Global Net-zero,Saskatchewan,Hydro / Wave / Tidal,Primary Fuel,2045," 4,088.20 ",939.06
6313,SaskatchewanCanada Net-zeroNatural Gas2045,Canada Net-zero,Saskatchewan,Natural Gas,Primary Fuel,2045," 1,347.53 ",2821.676145
6314,SaskatchewanCurrent MeasuresNatural Gas2045,Current Measures,Saskatchewan,Natural Gas,Primary Fuel,2045," 8,126.42 ",4581.61659
6315,SaskatchewanGlobal Net-zeroNatural Gas2045,Global Net-zero,Saskatchewan,Natural Gas,Primary Fuel,2045," 2,436.56 ",2864.383172
6316,SaskatchewanCanada Net-zeroOil2045,Canada Net-zero,Saskatchewan,Oil,Primary Fuel,2045, -   ,16.955
6317,SaskatchewanCurrent MeasuresOil2045,Current Measures,Saskatchewan,Oil,Primary Fuel,2045, -   ,16.955
6318,SaskatchewanGlobal Net-zeroOil2045,Global Net-zero,Saskatchewan,Oil,Primary Fuel,2045, -   ,16.955
6319,SaskatchewanCanada Net-zeroSolar2045,Canada Net-zero,Saskatchewan,Solar,Primary Fuel,2045," 3,321.11 ",1466.822423
6320,SaskatchewanCurrent MeasuresSolar2045,Current Measures,Saskatchewan,Solar,Primary Fuel,2045," 6,063.79 ",2849.576692
6321,SaskatchewanGlobal Net-zeroSolar2045,Global Net-zero,Saskatchewan,Solar,Primary Fuel,2045," 2,153.93 ",853.2993085
6322,SaskatchewanCanada Net-zeroUranium2045,Canada Net-zero,Saskatchewan,Uranium,Primary Fuel,2045," 6,470.42 ",1070
6323,SaskatchewanGlobal Net-zeroUranium2045,Global Net-zero,Saskatchewan,Uranium,Primary Fuel,2045," 6,575.97 ",1030.927835
6324,SaskatchewanCanada Net-zeroWind2045,Canada Net-zero,Saskatchewan,Wind,Primary Fuel,2045," 20,750.59 ",5506.830121
6325,SaskatchewanCurrent MeasuresWind2045,Current Measures,Saskatchewan,Wind,Primary Fuel,2045," 16,379.57 ",4402.295178
6326,SaskatchewanGlobal Net-zeroWind2045,Global Net-zero,Saskatchewan,Wind,Primary Fuel,2045," 15,846.39 ",4237.461436
6327,YukonCanada Net-zeroBiomass / Geothermal2045,Canada Net-zero,Yukon,Biomass / Geothermal,Primary Fuel,2045, 19.25 ,43.934611
6328,YukonCurrent MeasuresBiomass / Geothermal2045,Current Measures,Yukon,Biomass / Geothermal,Primary Fuel,2045, 5.46 ,36.727373
6329,YukonGlobal Net-zeroBiomass / Geothermal2045,Global Net-zero,Yukon,Biomass / Geothermal,Primary Fuel,2045, 9.49 ,40.558732
6330,YukonCanada Net-zeroHydro / Wave / Tidal2045,Canada Net-zero,Yukon,Hydro / Wave / Tidal,Primary Fuel,2045, 462.24 ,104.5
6331,YukonCurrent MeasuresHydro / Wave / Tidal2045,Current Measures,Yukon,Hydro / Wave / Tidal,Primary Fuel,2045, 453.32 ,104.5
6332,YukonGlobal Net-zeroHydro / Wave / Tidal2045,Global Net-zero,Yukon,Hydro / Wave / Tidal,Primary Fuel,2045, 460.06 ,104.5
6333,YukonCanada Net-zeroNatural Gas2045,Canada Net-zero,Yukon,Natural Gas,Primary Fuel,2045, 143.78 ,19.8
6334,YukonCurrent MeasuresNatural Gas2045,Current Measures,Yukon,Natural Gas,Primary Fuel,2045, 66.99 ,19.8
6335,YukonGlobal Net-zeroNatural Gas2045,Global Net-zero,Yukon,Natural Gas,Primary Fuel,2045, 132.68 ,19.8
6336,YukonCanada Net-zeroOil2045,Canada Net-zero,Yukon,Oil,Primary Fuel,2045, 95.36 ,23.57
6337,YukonCurrent MeasuresOil2045,Current Measures,Yukon,Oil,Primary Fuel,2045, 22.33 ,23.57
6338,YukonGlobal Net-zeroOil2045,Global Net-zero,Yukon,Oil,Primary Fuel,2045, 80.79 ,23.57
6339,YukonCanada Net-zeroSolar2045,Canada Net-zero,Yukon,Solar,Primary Fuel,2045, 61.46 ,40.044
6340,YukonCurrent MeasuresSolar2045,Current Measures,Yukon,Solar,Primary Fuel,2045, 47.48 ,30.17710728
6341,YukonGlobal Net-zeroSolar2045,Global Net-zero,Yukon,Solar,Primary Fuel,2045, 61.46 ,40.044
6342,YukonCanada Net-zeroWind2045,Canada Net-zero,Yukon,Wind,Primary Fuel,2045, 51.14 ,37.77
6343,YukonCurrent MeasuresWind2045,Current Measures,Yukon,Wind,Primary Fuel,2045, 14.57 ,10.96789474
6344,YukonGlobal Net-zeroWind2045,Global Net-zero,Yukon,Wind,Primary Fuel,2045, 52.30 ,37.12937173
6345,AlbertaCanada Net-zeroBiomass / Geothermal2046,Canada Net-zero,Alberta,Biomass / Geothermal,Primary Fuel,2046," 20,400.41 ",2757.872222
6346,AlbertaCurrent MeasuresBiomass / Geothermal2046,Current Measures,Alberta,Biomass / Geothermal,Primary Fuel,2046, 225.05 ,285.65
6347,AlbertaGlobal Net-zeroBiomass / Geothermal2046,Global Net-zero,Alberta,Biomass / Geothermal,Primary Fuel,2046," 20,391.59 ",2757.872222
6348,AlbertaCanada Net-zeroCoal & Coke2046,Canada Net-zero,Alberta,Coal & Coke,Primary Fuel,2046, -   ,0
6349,AlbertaCurrent MeasuresCoal & Coke2046,Current Measures,Alberta,Coal & Coke,Primary Fuel,2046, -   ,0
6350,AlbertaGlobal Net-zeroCoal & Coke2046,Global Net-zero,Alberta,Coal & Coke,Primary Fuel,2046, -   ,0
6351,AlbertaCanada Net-zeroHydro / Wave / Tidal2046,Canada Net-zero,Alberta,Hydro / Wave / Tidal,Primary Fuel,2046," 1,310.50 ",894.35
6352,AlbertaCurrent MeasuresHydro / Wave / Tidal2046,Current Measures,Alberta,Hydro / Wave / Tidal,Primary Fuel,2046," 1,649.95 ",894.35
6353,AlbertaGlobal Net-zeroHydro / Wave / Tidal2046,Global Net-zero,Alberta,Hydro / Wave / Tidal,Primary Fuel,2046," 1,298.79 ",894.35
6354,AlbertaCanada Net-zeroNatural Gas2046,Canada Net-zero,Alberta,Natural Gas,Primary Fuel,2046," 23,866.96 ",10438.08053
6355,AlbertaCurrent MeasuresNatural Gas2046,Current Measures,Alberta,Natural Gas,Primary Fuel,2046," 69,740.76 ",14366.2951
6356,AlbertaGlobal Net-zeroNatural Gas2046,Global Net-zero,Alberta,Natural Gas,Primary Fuel,2046," 20,474.50 ",8738.459587
6357,AlbertaCanada Net-zeroOil2046,Canada Net-zero,Alberta,Oil,Primary Fuel,2046, -   ,7.15
6358,AlbertaCurrent MeasuresOil2046,Current Measures,Alberta,Oil,Primary Fuel,2046, -   ,7.15
6359,AlbertaGlobal Net-zeroOil2046,Global Net-zero,Alberta,Oil,Primary Fuel,2046, -   ,7.15
6360,AlbertaCanada Net-zeroSolar2046,Canada Net-zero,Alberta,Solar,Primary Fuel,2046," 27,839.33 ",13549.87869
6361,AlbertaCurrent MeasuresSolar2046,Current Measures,Alberta,Solar,Primary Fuel,2046," 10,501.75 ",4632.357144
6362,AlbertaGlobal Net-zeroSolar2046,Global Net-zero,Alberta,Solar,Primary Fuel,2046," 24,912.44 ",12249.16419
6363,AlbertaCanada Net-zeroUranium2046,Canada Net-zero,Alberta,Uranium,Primary Fuel,2046," 14,457.73 ",2140
6364,AlbertaGlobal Net-zeroUranium2046,Global Net-zero,Alberta,Uranium,Primary Fuel,2046," 7,229.50 ",1260.692965
6365,AlbertaCanada Net-zeroWind2046,Canada Net-zero,Alberta,Wind,Primary Fuel,2046," 68,844.50 ",18303.97306
6366,AlbertaCurrent MeasuresWind2046,Current Measures,Alberta,Wind,Primary Fuel,2046," 38,504.66 ",9387.075475
6367,AlbertaGlobal Net-zeroWind2046,Global Net-zero,Alberta,Wind,Primary Fuel,2046," 50,169.06 ",13809.61936
6368,British ColumbiaCanada Net-zeroBiomass / Geothermal2046,Canada Net-zero,British Columbia,Biomass / Geothermal,Primary Fuel,2046," 4,684.66 ",1345.716667
6369,British ColumbiaCurrent MeasuresBiomass / Geothermal2046,Current Measures,British Columbia,Biomass / Geothermal,Primary Fuel,2046," 2,492.25 ",1079.05
6370,British ColumbiaGlobal Net-zeroBiomass / Geothermal2046,Global Net-zero,British Columbia,Biomass / Geothermal,Primary Fuel,2046," 4,202.88 ",1245.716667
6371,British ColumbiaCanada Net-zeroHydro / Wave / Tidal2046,Canada Net-zero,British Columbia,Hydro / Wave / Tidal,Primary Fuel,2046," 60,807.74 ",17803.47
6372,British ColumbiaCurrent MeasuresHydro / Wave / Tidal2046,Current Measures,British Columbia,Hydro / Wave / Tidal,Primary Fuel,2046," 63,002.31 ",17303.47
6373,British ColumbiaGlobal Net-zeroHydro / Wave / Tidal2046,Global Net-zero,British Columbia,Hydro / Wave / Tidal,Primary Fuel,2046," 61,250.39 ",17203.47
6374,British ColumbiaCanada Net-zeroNatural Gas2046,Canada Net-zero,British Columbia,Natural Gas,Primary Fuel,2046," 1,722.11 ",4081.728318
6375,British ColumbiaCurrent MeasuresNatural Gas2046,Current Measures,British Columbia,Natural Gas,Primary Fuel,2046," 7,895.50 ",5987.554486
6376,British ColumbiaGlobal Net-zeroNatural Gas2046,Global Net-zero,British Columbia,Natural Gas,Primary Fuel,2046," 2,811.03 ",5123.83165
6377,British ColumbiaCanada Net-zeroOil2046,Canada Net-zero,British Columbia,Oil,Primary Fuel,2046, -   ,36.46
6378,British ColumbiaCurrent MeasuresOil2046,Current Measures,British Columbia,Oil,Primary Fuel,2046, -   ,36.46
6379,British ColumbiaGlobal Net-zeroOil2046,Global Net-zero,British Columbia,Oil,Primary Fuel,2046, -   ,36.46
6380,British ColumbiaCanada Net-zeroSolar2046,Canada Net-zero,British Columbia,Solar,Primary Fuel,2046," 14,826.68 ",8525.877041
6381,British ColumbiaCurrent MeasuresSolar2046,Current Measures,British Columbia,Solar,Primary Fuel,2046," 11,735.67 ",6963.195009
6382,British ColumbiaGlobal Net-zeroSolar2046,Global Net-zero,British Columbia,Solar,Primary Fuel,2046," 11,957.07 ",6701.214355
6383,British ColumbiaCanada Net-zeroUranium2046,Canada Net-zero,British Columbia,Uranium,Primary Fuel,2046," 13,599.97 ",2140
6384,British ColumbiaGlobal Net-zeroUranium2046,Global Net-zero,British Columbia,Uranium,Primary Fuel,2046," 13,636.76 ",2061.85567
6385,British ColumbiaCanada Net-zeroWind2046,Canada Net-zero,British Columbia,Wind,Primary Fuel,2046," 32,660.96 ",9752.501084
6386,British ColumbiaCurrent MeasuresWind2046,Current Measures,British Columbia,Wind,Primary Fuel,2046," 25,297.84 ",7614.514008
6387,British ColumbiaGlobal Net-zeroWind2046,Global Net-zero,British Columbia,Wind,Primary Fuel,2046," 23,218.83 ",7114.013793
6388,ManitobaCanada Net-zeroBiomass / Geothermal2046,Canada Net-zero,Manitoba,Biomass / Geothermal,Primary Fuel,2046, 60.17 ,29.060682
6389,ManitobaCurrent MeasuresBiomass / Geothermal2046,Current Measures,Manitoba,Biomass / Geothermal,Primary Fuel,2046," 1,456.20 ",1204.541352
6390,ManitobaGlobal Net-zeroBiomass / Geothermal2046,Global Net-zero,Manitoba,Biomass / Geothermal,Primary Fuel,2046, 61.69 ,22
6391,ManitobaCanada Net-zeroHydro / Wave / Tidal2046,Canada Net-zero,Manitoba,Hydro / Wave / Tidal,Primary Fuel,2046," 49,929.46 ",7672.69
6392,ManitobaCurrent MeasuresHydro / Wave / Tidal2046,Current Measures,Manitoba,Hydro / Wave / Tidal,Primary Fuel,2046," 36,717.03 ",6572.69
6393,ManitobaGlobal Net-zeroHydro / Wave / Tidal2046,Global Net-zero,Manitoba,Hydro / Wave / Tidal,Primary Fuel,2046," 49,837.58 ",7672.69
6394,ManitobaCanada Net-zeroNatural Gas2046,Canada Net-zero,Manitoba,Natural Gas,Primary Fuel,2046, -   ,0
6395,ManitobaCurrent MeasuresNatural Gas2046,Current Measures,Manitoba,Natural Gas,Primary Fuel,2046, -   ,0
6396,ManitobaGlobal Net-zeroNatural Gas2046,Global Net-zero,Manitoba,Natural Gas,Primary Fuel,2046, -   ,0
6397,ManitobaCanada Net-zeroOil2046,Canada Net-zero,Manitoba,Oil,Primary Fuel,2046, -   ,37.31
6398,ManitobaCurrent MeasuresOil2046,Current Measures,Manitoba,Oil,Primary Fuel,2046, 0.40 ,37.31
6399,ManitobaGlobal Net-zeroOil2046,Global Net-zero,Manitoba,Oil,Primary Fuel,2046, -   ,37.31
6400,ManitobaCanada Net-zeroSolar2046,Canada Net-zero,Manitoba,Solar,Primary Fuel,2046, 108.33 ,6
6401,ManitobaCurrent MeasuresSolar2046,Current Measures,Manitoba,Solar,Primary Fuel,2046, 749.09 ,350.1942908
6402,ManitobaGlobal Net-zeroSolar2046,Global Net-zero,Manitoba,Solar,Primary Fuel,2046, 335.86 ,126
6403,ManitobaCanada Net-zeroUranium2046,Canada Net-zero,Manitoba,Uranium,Primary Fuel,2046," 13,890.96 ",2477.604862
6404,ManitobaGlobal Net-zeroUranium2046,Global Net-zero,Manitoba,Uranium,Primary Fuel,2046," 10,670.04 ",1794.30378
6405,ManitobaCanada Net-zeroWind2046,Canada Net-zero,Manitoba,Wind,Primary Fuel,2046," 1,392.51 ",419.93
6406,ManitobaCurrent MeasuresWind2046,Current Measures,Manitoba,Wind,Primary Fuel,2046," 5,346.07 ",1556.355851
6407,ManitobaGlobal Net-zeroWind2046,Global Net-zero,Manitoba,Wind,Primary Fuel,2046," 1,407.63 ",417.5505236
6408,New BrunswickCanada Net-zeroBiomass / Geothermal2046,Canada Net-zero,New Brunswick,Biomass / Geothermal,Primary Fuel,2046, 137.52 ,79.2
6409,New BrunswickCurrent MeasuresBiomass / Geothermal2046,Current Measures,New Brunswick,Biomass / Geothermal,Primary Fuel,2046, 84.21 ,79.2
6410,New BrunswickGlobal Net-zeroBiomass / Geothermal2046,Global Net-zero,New Brunswick,Biomass / Geothermal,Primary Fuel,2046, 177.56 ,79.2
6411,New BrunswickCanada Net-zeroCoal & Coke2046,Canada Net-zero,New Brunswick,Coal & Coke,Primary Fuel,2046, -   ,0
6412,New BrunswickCurrent MeasuresCoal & Coke2046,Current Measures,New Brunswick,Coal & Coke,Primary Fuel,2046, -   ,0
6413,New BrunswickGlobal Net-zeroCoal & Coke2046,Global Net-zero,New Brunswick,Coal & Coke,Primary Fuel,2046, -   ,0
6414,New BrunswickCanada Net-zeroHydro / Wave / Tidal2046,Canada Net-zero,New Brunswick,Hydro / Wave / Tidal,Primary Fuel,2046," 2,836.20 ",960.98
6415,New BrunswickCurrent MeasuresHydro / Wave / Tidal2046,Current Measures,New Brunswick,Hydro / Wave / Tidal,Primary Fuel,2046," 2,304.75 ",960.98
6416,New BrunswickGlobal Net-zeroHydro / Wave / Tidal2046,Global Net-zero,New Brunswick,Hydro / Wave / Tidal,Primary Fuel,2046," 2,819.10 ",960.98
6417,New BrunswickCanada Net-zeroNatural Gas2046,Canada Net-zero,New Brunswick,Natural Gas,Primary Fuel,2046, -   ,0
6418,New BrunswickCurrent MeasuresNatural Gas2046,Current Measures,New Brunswick,Natural Gas,Primary Fuel,2046, -   ,0
6419,New BrunswickGlobal Net-zeroNatural Gas2046,Global Net-zero,New Brunswick,Natural Gas,Primary Fuel,2046, -   ,0
6420,New BrunswickCanada Net-zeroOil2046,Canada Net-zero,New Brunswick,Oil,Primary Fuel,2046, 10.55 ,514.34
6421,New BrunswickCurrent MeasuresOil2046,Current Measures,New Brunswick,Oil,Primary Fuel,2046, 0.04 ,514.34
6422,New BrunswickGlobal Net-zeroOil2046,Global Net-zero,New Brunswick,Oil,Primary Fuel,2046, 14.66 ,514.34
6423,New BrunswickCanada Net-zeroSolar2046,Canada Net-zero,New Brunswick,Solar,Primary Fuel,2046, 86.91 ,30.162
6424,New BrunswickCurrent MeasuresSolar2046,Current Measures,New Brunswick,Solar,Primary Fuel,2046, 73.25 ,30.162
6425,New BrunswickGlobal Net-zeroSolar2046,Global Net-zero,New Brunswick,Solar,Primary Fuel,2046, 319.22 ,163.8211244
6426,New BrunswickCanada Net-zeroUranium2046,Canada Net-zero,New Brunswick,Uranium,Primary Fuel,2046," 9,691.95 ",1573.872413
6427,New BrunswickCurrent MeasuresUranium2046,Current Measures,New Brunswick,Uranium,Primary Fuel,2046," 4,949.69 ",679
6428,New BrunswickGlobal Net-zeroUranium2046,Global Net-zero,New Brunswick,Uranium,Primary Fuel,2046," 8,732.33 ",1421.921488
6429,New BrunswickCanada Net-zeroWind2046,Canada Net-zero,New Brunswick,Wind,Primary Fuel,2046," 7,736.63 ",2289.71271
6430,New BrunswickCurrent MeasuresWind2046,Current Measures,New Brunswick,Wind,Primary Fuel,2046," 10,541.29 ",3404.637811
6431,New BrunswickGlobal Net-zeroWind2046,Global Net-zero,New Brunswick,Wind,Primary Fuel,2046," 8,428.04 ",2444.779202
6432,Newfoundland and LabradorCanada Net-zeroHydro / Wave / Tidal2046,Canada Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,Primary Fuel,2046," 46,457.51 ",7607.061
6433,Newfoundland and LabradorCurrent MeasuresHydro / Wave / Tidal2046,Current Measures,Newfoundland and Labrador,Hydro / Wave / Tidal,Primary Fuel,2046," 45,389.91 ",7607.061
6434,Newfoundland and LabradorGlobal Net-zeroHydro / Wave / Tidal2046,Global Net-zero,Newfoundland and Labrador,Hydro / Wave / Tidal,Primary Fuel,2046," 46,479.38 ",7607.061
6435,Newfoundland and LabradorCanada Net-zeroNatural Gas2046,Canada Net-zero,Newfoundland and Labrador,Natural Gas,Primary Fuel,2046, 26.94 ,120
6436,Newfoundland and LabradorCurrent MeasuresNatural Gas2046,Current Measures,Newfoundland and Labrador,Natural Gas,Primary Fuel,2046, -   ,120
6437,Newfoundland and LabradorGlobal Net-zeroNatural Gas2046,Global Net-zero,Newfoundland and Labrador,Natural Gas,Primary Fuel,2046, 15.23 ,120
6438,Newfoundland and LabradorCanada Net-zeroOil2046,Canada Net-zero,Newfoundland and Labrador,Oil,Primary Fuel,2046, 3.90 ,279.55
6439,Newfoundland and LabradorCurrent MeasuresOil2046,Current Measures,Newfoundland and Labrador,Oil,Primary Fuel,2046, -   ,279.55
6440,Newfoundland and LabradorGlobal Net-zeroOil2046,Global Net-zero,Newfoundland and Labrador,Oil,Primary Fuel,2046, 1.57 ,279.55
6441,Newfoundland and LabradorCanada Net-zeroSolar2046,Canada Net-zero,Newfoundland and Labrador,Solar,Primary Fuel,2046, 21.34 ,0.015
6442,Newfoundland and LabradorCurrent MeasuresSolar2046,Current Measures,Newfoundland and Labrador,Solar,Primary Fuel,2046, 14.96 ,0.015
6443,Newfoundland and LabradorGlobal Net-zeroSolar2046,Global Net-zero,Newfoundland and Labrador,Solar,Primary Fuel,2046, 21.34 ,0.015
6444,Newfoundland and LabradorCanada Net-zeroWind2046,Canada Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2046, 194.50 ,54.3
6445,Newfoundland and LabradorCurrent MeasuresWind2046,Current Measures,Newfoundland and Labrador,Wind,Primary Fuel,2046, 194.50 ,54.3
6446,Newfoundland and LabradorGlobal Net-zeroWind2046,Global Net-zero,Newfoundland and Labrador,Wind,Primary Fuel,2046, 194.50 ,54.3
6447,Nova ScotiaCanada Net-zeroBiomass / Geothermal2046,Canada Net-zero,Nova Scotia,Biomass / Geothermal,Primary Fuel,2046, 192.08 ,112.56
6448,Nova ScotiaCurrent MeasuresBiomass / Geothermal2046,Current Measures,Nova Scotia,Biomass / Geothermal,Primary Fuel,2046, 496.59 ,112.56
6449,Nova ScotiaGlobal Net-zeroBiomass / Geothermal2046,Global Net-zero,Nova Scotia,Biomass / Geothermal,Primary Fuel,2046, 201.26 ,112.56
6450,Nova ScotiaCanada Net-zeroCoal & Coke2046,Canada Net-zero,Nova Scotia,Coal & Coke,Primary Fuel,2046, -   ,0
6451,Nova ScotiaCurrent MeasuresCoal & Coke2046,Current Measures,Nova Scotia,Coal & Coke,Primary Fuel,2046, -   ,0
6452,Nova ScotiaGlobal Net-zeroCoal & Coke2046,Global Net-zero,Nova Scotia,Coal & Coke,Primary Fuel,2046, -   ,0
6453,Nova ScotiaCanada Net-zeroHydro / Wave / Tidal2046,Canada Net-zero,Nova Scotia,Hydro / Wave / Tidal,Primary Fuel,2046, 494.19 ,389.35
6454,Nova ScotiaCurrent MeasuresHydro / Wave / Tidal2046,Current Measures,Nova Scotia,Hydro / Wave / Tidal,Primary Fuel,2046, 982.77 ,389.35
6455,Nova ScotiaGlobal Net-zeroHydro / Wave / Tidal2046,Global Net-zero,Nova Scotia,Hydro / Wave / Tidal,Primary Fuel,2046, 488.70 ,389.35
6456,Nova ScotiaCanada Net-zeroNatural Gas2046,Canada Net-zero,Nova Scotia,Natural Gas,Primary Fuel,2046, 121.19 ,1375.098935
6457,Nova ScotiaCurrent MeasuresNatural Gas2046,Current Measures,Nova Scotia,Natural Gas,Primary Fuel,2046," 4,218.23 ",1724.072282
6458,Nova ScotiaGlobal Net-zeroNatural Gas2046,Global Net-zero,Nova Scotia,Natural Gas,Primary Fuel,2046, 60.47 ,1000
6459,Nova ScotiaCanada Net-zeroOil2046,Canada Net-zero,Nova Scotia,Oil,Primary Fuel,2046, -   ,222.3
6460,Nova ScotiaCurrent MeasuresOil2046,Current Measures,Nova Scotia,Oil,Primary Fuel,2046, -   ,222.3
6461,Nova ScotiaGlobal Net-zeroOil2046,Global Net-zero,Nova Scotia,Oil,Primary Fuel,2046, -   ,222.3
6462,Nova ScotiaCanada Net-zeroSolar2046,Canada Net-zero,Nova Scotia,Solar,Primary Fuel,2046, 33.47 ,0.365
6463,Nova ScotiaCurrent MeasuresSolar2046,Current Measures,Nova Scotia,Solar,Primary Fuel,2046, 285.67 ,144.8633425
6464,Nova ScotiaGlobal Net-zeroSolar2046,Global Net-zero,Nova Scotia,Solar,Primary Fuel,2046, 166.98 ,120.365
6465,Nova ScotiaCanada Net-zeroWind2046,Canada Net-zero,Nova Scotia,Wind,Primary Fuel,2046," 24,745.62 ",5666.683928
6466,Nova ScotiaCurrent MeasuresWind2046,Current Measures,Nova Scotia,Wind,Primary Fuel,2046," 7,607.48 ",1984.398196
6467,Nova ScotiaGlobal Net-zeroWind2046,Global Net-zero,Nova Scotia,Wind,Primary Fuel,2046," 24,486.47 ",5619.760565
6468,Northwest TerritoriesCanada Net-zeroHydro / Wave / Tidal2046,Canada Net-zero,Northwest Territories,Hydro / Wave / Tidal,Primary Fuel,2046, 609.37 ,135.4805
6469,Northwest TerritoriesCurrent MeasuresHydro / Wave / Tidal2046,Current Measures,Northwest Territories,Hydro / Wave / Tidal,Primary Fuel,2046, 344.31 ,115.4805
6470,Northwest TerritoriesGlobal Net-zeroHydro / Wave / Tidal2046,Global Net-zero,Northwest Territories,Hydro / Wave / Tidal,Primary Fuel,2046, 515.60 ,115.4805
6471,Northwest TerritoriesCanada Net-zeroNatural Gas2046,Canada Net-zero,Northwest Territories,Natural Gas,Primary Fuel,2046, 37.55 ,10
6472,Northwest TerritoriesCurrent MeasuresNatural Gas2046,Current Measures,Northwest Territories,Natural Gas,Primary Fuel,2046, -   ,10
6473,Northwest TerritoriesGlobal Net-zeroNatural Gas2046,Global Net-zero,Northwest Territories,Natural Gas,Primary Fuel,2046, 29.37 ,10
6474,Northwest TerritoriesCanada Net-zeroOil2046,Canada Net-zero,Northwest Territories,Oil,Primary Fuel,2046, 17.99 ,89.2
6475,Northwest TerritoriesCurrent MeasuresOil2046,Current Measures,Northwest Territories,Oil,Primary Fuel,2046, 10.98 ,120
6476,Northwest TerritoriesGlobal Net-zeroOil2046,Global Net-zero,Northwest Territories,Oil,Primary Fuel,2046, 11.18 ,89.2
6477,Northwest TerritoriesCanada Net-zeroSolar2046,Canada Net-zero,Northwest Territories,Solar,Primary Fuel,2046, 61.69 ,42.015
